Age,Education,MaritalStatus,Occupation,Race,Gender,HoursPerWeek,Country,Salary
35, Some-college, Never-married, Exec-managerial, White, Female,40, United-States, <=50K
25, Some-college, Never-married, Tech-support, White, Female,40, United-States, <=50K
24, Some-college, Married-civ-spouse, Machine-op-inspct, White, Female,48, United-States, >50K
22, Bachelors, Never-married, Prof-specialty, White, Female,15, Germany, <=50K
42, Some-college, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K
34, Assoc-acdm, Divorced, Sales, Black, Female,45, United-States, <=50K
60, Bachelors, Divorced, Prof-specialty, White, Female,42, United-States, <=50K
21, HS-grad, Never-married, Handlers-cleaners, White, Male,40, United-States, <=50K
57, Masters, Married-civ-spouse, Sales, White, Male,40, United-States, >50K
41, Prof-school, Married-civ-spouse, Prof-specialty, White, Male,60, United-States, >50K
50, Some-college, Divorced, Other-service, White, Male,45, United-States, <=50K
25, Bachelors, Never-married, Exec-managerial, White, Female,40, United-States, <=50K
50, 7th-8th, Married-civ-spouse, Craft-repair, White, Male,40, Ecuador, <=50K
36, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,45, United-States, <=50K
31, HS-grad, Divorced, Prof-specialty, White, Female,40, United-States, <=50K
29, Bachelors, Never-married, Protective-serv, White, Male,56, United-States, <=50K
21, Some-college, Never-married, Sales, White, Male,45, United-States, <=50K
27, Bachelors, Never-married, Tech-support, Black, Female,40, United-States, <=50K
65, HS-grad, Married-civ-spouse, Transport-moving, White, Male,16, United-States, <=50K
37, Bachelors, Divorced, Sales, White, Female,60, United-States, <=50K
39, Masters, Married-civ-spouse, ?, Asian-Pac-Islander, Female,40, ?, <=50K
24, HS-grad, Never-married, Craft-repair, White, Male,40, United-States, <=50K
38, HS-grad, Divorced, Sales, White, Male,80, United-States, <=50K
48, Bachelors, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, >50K
21, Some-college, Never-married, Other-service, Asian-Pac-Islander, Female,25, United-States, <=50K
31, HS-grad, Married-civ-spouse, Transport-moving, White, Male,45, United-States, >50K
55, HS-grad, Married-civ-spouse, Sales, White, Male,40, United-States, >50K
24, Some-college, Married-civ-spouse, Adm-clerical, Asian-Pac-Islander, Female,40, Laos, <=50K
43, HS-grad, Divorced, Adm-clerical, White, Female,40, United-States, <=50K
26, Assoc-acdm, Never-married, Tech-support, White, Male,45, United-States, <=50K
46, Assoc-acdm, Never-married, Prof-specialty, White, Female,33, United-States, <=50K
35, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, >50K
41, Some-college, Married-civ-spouse, Farming-fishing, White, Male,54, United-States, >50K
26, Bachelors, Never-married, Sales, White, Male,40, United-States, <=50K
34, Masters, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male,35, Taiwan, >50K
19, Some-college, Never-married, ?, Black, Female,25, United-States, <=50K
36, Bachelors, Divorced, Prof-specialty, Black, Female,40, United-States, >50K
22, Some-college, Never-married, Sales, White, Male,15, United-States, <=50K
24, Some-college, Never-married, Machine-op-inspct, White, Male,40, United-States, <=50K
77, Some-college, Married-civ-spouse, Sales, White, Male,40, United-States, <=50K
22, 5th-6th, Married-civ-spouse, Machine-op-inspct, White, Female,40, Mexico, <=50K
29, Some-college, Never-married, Tech-support, White, Female,40, United-States, <=50K
62, HS-grad, Widowed, Other-service, White, Female,24, United-States, <=50K
39, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, <=50K
43, Some-college, Married-civ-spouse, Craft-repair, White, Male,50, United-States, <=50K
35, HS-grad, Divorced, Transport-moving, White, Male,45, United-States, <=50K
29, 11th, Never-married, Exec-managerial, White, Female,40, United-States, <=50K
76, Masters, Married-civ-spouse, Craft-repair, White, Male,10, United-States, <=50K
63, HS-grad, Married-civ-spouse, Farming-fishing, White, Male,45, United-States, <=50K
23, Assoc-voc, Never-married, ?, Black, Female,15, United-States, <=50K
43, Some-college, Married-civ-spouse, Prof-specialty, White, Female,50, United-States, >50K
58, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States, <=50K
66, HS-grad, Never-married, Transport-moving, White, Male,55, United-States, <=50K
41, Some-college, Never-married, Craft-repair, Black, Male,45, United-States, <=50K
26, Bachelors, Never-married, Adm-clerical, White, Male,40, United-States, <=50K
47, Assoc-voc, Never-married, Other-service, White, Male,40, United-States, <=50K
55, 10th, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, <=50K
53, HS-grad, Married-civ-spouse, Transport-moving, White, Male,40, United-States, <=50K
17, 5th-6th, Never-married, Other-service, White, Male,48, Mexico, <=50K
30, HS-grad, Never-married, Craft-repair, White, Male,40, United-States, <=50K
49, Masters, Never-married, Prof-specialty, White, Male,60, United-States, <=50K
19, HS-grad, Never-married, Sales, Black, Male,30, Haiti, <=50K
45, HS-grad, Married-civ-spouse, Other-service, Black, Male,40, United-States, <=50K
26, Assoc-acdm, Never-married, Sales, White, Male,40, United-States, <=50K
38, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K
36, HS-grad, Married-civ-spouse, Protective-serv, White, Male,40, United-States, >50K
33, HS-grad, Never-married, Farming-fishing, White, Male,20, United-States, <=50K
22, Some-college, Never-married, Protective-serv, Black, Female,40, United-States, <=50K
43, Bachelors, Never-married, Sales, White, Male,42, United-States, <=50K
67, 11th, Married-civ-spouse, ?, White, Male,8, United-States, <=50K
30, Assoc-voc, Divorced, ?, White, Female,40, United-States, <=50K
56, Assoc-acdm, Married-spouse-absent, Other-service, White, Male,25, Iran, <=50K
31, Bachelors, Never-married, Prof-specialty, White, Male,25, United-States, <=50K
33, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K
26, HS-grad, Married-civ-spouse, Other-service, White, Male,40, United-States, <=50K
33, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K
46, 11th, Married-civ-spouse, Transport-moving, White, Male,30, United-States, <=50K
59, Bachelors, Married-civ-spouse, ?, White, Male,40, United-States, >50K
38, HS-grad, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, >50K
65, 11th, Widowed, Other-service, Other, Male,40, United-States, <=50K
40, Assoc-voc, Married-civ-spouse, Tech-support, White, Male,40, United-States, >50K
42, HS-grad, Married-civ-spouse, Adm-clerical, White, Female,35, United-States, <=50K
26, 9th, Married-civ-spouse, Craft-repair, White, Male,40, Portugal, <=50K
36, 10th, Married-civ-spouse, Other-service, White, Female,24, United-States, <=50K
62, Masters, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K
