Birth Rate,Business Tax Rate,CO2 Emissions,Country,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
4.5%,,906,Malawi,,,,"$1,743,506,287",6.1%,$9,,10.3%,0.0,53.1%,46,46,0.0,1,45.8%,51.1%,3.1%,11321496,14.6%,Africa,"$29,000,000","$53,000,000",12/1/2000
4.8%,,543,Mali,,,,"$2,422,482,318",6.3%,$16,,11.6%,0.0,,49,49,0.0,1,46.1%,50.4%,3.5%,10260577,28.4%,Africa,"$47,000,000","$66,000,000",12/1/2000
3.8%,,1236,Mauritania,,,,"$1,293,653,473",6.0%,$24,,7.6%,0.0,25.6%,61,58,0.0,1,42.8%,54.0%,3.2%,2708095,49.2%,Africa,,,12/1/2000
1.7%,,2769,Mauritius,,,,"$4,582,562,398",3.7%,$146,,1.6%,0.1,20.8%,75,68,0.2,1,25.8%,68.1%,6.1%,1186873,42.7%,Africa,"$732,000,000","$203,000,000",12/1/2000
2.2%,,33905,Morocco,,,10238,"$37,020,609,825",4.2%,$54,,4.3%,0.0,13.3%,70,67,0.1,1,34.1%,61.3%,4.7%,28710123,53.3%,Africa,"$2,280,000,000","$506,000,000",12/1/2000
4.4%,,1349,Mozambique,,,7173,"$4,310,090,791",6.2%,$15,,11.4%,0.0,19.0%,49,46,0.0,1,43.8%,53.0%,3.2%,18275618,29.1%,Africa,"$74,000,000","$122,000,000",12/1/2000
3.2%,,1643,Namibia,,,978,"$3,908,645,566",6.1%,$126,,4.9%,0.0,15.3%,57,53,0.0,1,40.5%,56.2%,3.3%,1897953,32.4%,Africa,"$193,000,000","$86,000,000",12/1/2000
5.3%,,796,Niger,,,,"$1,798,374,533",6.4%,$10,,10.1%,0.0,,51,51,0.0,1,47.9%,49.5%,2.5%,10989815,16.2%,Africa,"$23,000,000","$32,000,000",12/1/2000
4.3%,,79182,Nigeria,,,90596,"$46,385,996,027",4.6%,$17,,11.3%,0.0,21.3%,47,46,0.0,1,43.5%,53.7%,2.8%,122876727,34.8%,Africa,"$186,000,000","$610,000,000",12/1/2000
4.1%,,686,Rwanda,,,,"$1,734,938,190",4.2%,$9,,10.8%,0.0,17.0%,49,47,0.0,1,46.6%,50.5%,3.0%,8395577,14.9%,Africa,"$27,000,000","$35,000,000",12/1/2000
3.6%,,48,Sao Tome and Principe,,,,"$76,709,305",8.9%,$46,,5.8%,0.0,39.7%,65,62,,1,44.0%,52.0%,4.0%,139428,53.4%,Africa,"$9,900,000","$2,200,000",12/1/2000
4.0%,,3938,Senegal,,,2398,"$4,679,604,922",4.6%,$22,,6.9%,0.0,,59,56,0.0,1,45.1%,51.7%,3.2%,9861679,40.3%,Africa,"$152,000,000","$125,000,000",12/1/2000
1.9%,,565,Seychelles,,,,"$614,877,971",4.8%,$371,,1.2%,0.1,10.7%,,,0.3,1,28.2%,63.7%,8.1%,81131,50.1%,Africa,"$225,000,000","$44,000,000",12/1/2000
4.4%,,425,Sierra Leone,,,,"$635,874,002",18.4%,$28,,14.1%,0.0,26.3%,39,37,0.0,1,43.0%,54.6%,2.5%,4139757,35.6%,Africa,"$10,000,000","$35,000,000",12/1/2000
4.9%,,517,Somalia,,,,,,,,10.5%,0.0,,52,49,0.0,1,47.2%,49.9%,2.9%,7385416,33.2%,Africa,,,12/1/2000
2.4%,,368611,South Africa,,,109264,"$132,877,640,158",8.3%,$246,,5.2%,0.1,14.5%,58,54,0.2,1,33.0%,63.6%,3.4%,44000000,56.9%,Africa,"$3,338,000,000","$2,684,000,000",12/1/2000
4.3%,,,South Sudan,,,,,,,,11.0%,,,50,48,,1,44.7%,52.3%,3.0%,6652984,16.5%,Africa,,,12/1/2000
4.0%,,5534,Sudan,,,13340,"$12,257,299,163",3.4%,$15,,6.9%,0.0,,60,56,0.0,1,43.7%,53.3%,3.0%,27729798,32.5%,Africa,"$5,000,000","$55,000,000",12/1/2000
3.3%,,1188,Swaziland,,,,"$1,524,490,159",5.3%,$75,,8.0%,0.0,14.0%,49,48,0.0,1,44.6%,52.4%,2.9%,1063715,22.7%,Africa,"$24,000,000","$32,000,000",12/1/2000
4.2%,,2651,Tanzania,,,13390,"$10,185,786,171",3.4%,$10,,8.0%,0.0,21.6%,51,49,0.0,1,44.8%,52.3%,2.9%,34020512,22.3%,Africa,"$381,000,000","$369,000,000",12/1/2000
3.9%,,1357,Togo,,,2111,"$1,294,250,280",5.3%,$14,,7.7%,0.0,,54,53,0.0,1,44.2%,52.9%,2.9%,4864753,32.9%,Africa,"$11,000,000","$15,000,000",12/1/2000
1.7%,,19923,Tunisia,,,7306,"$21,473,188,882",5.4%,$123,,2.6%,0.0,,75,71,0.0,1,29.8%,64.1%,6.0%,9563500,63.4%,Africa,"$1,977,000,000","$310,000,000",12/1/2000
4.8%,,1533,Uganda,,,,"$6,193,246,632",6.6%,$16,,8.9%,0.0,22.9%,48,48,0.0,1,49.3%,48.1%,2.7%,24275641,12.1%,Africa,"$165,000,000",,12/1/2000
4.5%,,1819,Zambia,,,6244,"$3,253,551,750",5.6%,$18,,10.0%,0.0,38.8%,42,42,0.0,1,45.7%,51.5%,2.7%,10100981,34.8%,Africa,"$67,000,000","$102,000,000",12/1/2000
3.2%,,13887,Zimbabwe,,,9865,"$6,689,957,610",,,,6.1%,0.0,68.2%,44,44,0.0,1,42.2%,54.5%,3.4%,12503652,33.8%,Africa,"$125,000,000",,12/1/2000
5.0%,,781,Afghanistan,,,,,,,,9.5%,,,56,54,,1,49.5%,48.5%,2.0%,20595360,21.3%,Asia,,,12/1/2000
1.3%,,3465,Armenia,,,2015,"$1,911,563,665",6.3%,$39,,2.7%,0.0,31.6%,75,68,0.0,1,25.9%,64.1%,10.0%,3076098,64.7%,Asia,"$52,000,000","$56,000,000",12/1/2000
1.5%,,29508,Azerbaijan,,,11296,"$5,272,617,196",4.7%,$30,,6.1%,0.0,19.7%,70,64,0.1,1,31.1%,63.3%,5.6%,8048600,51.4%,Asia,"$68,000,000","$138,000,000",12/1/2000
2.7%,,27869,Bangladesh,,,18591,"$47,124,925,462",2.8%,$10,,6.4%,0.0,15.5%,66,65,0.0,1,37.0%,59.0%,4.1%,132383265,23.6%,Asia,"$50,000,000","$471,000,000",12/1/2000
2.8%,,400,Bhutan,,,,"$439,158,233",6.7%,$52,,5.9%,0.0,16.0%,60,60,,1,40.6%,55.6%,3.8%,564350,25.4%,Asia,"$10,000,000",,12/1/2000
2.3%,,6527,Brunei Darussalam,,,2385,"$6,001,153,318",3.0%,$543,,0.8%,0.1,5.5%,78,74,0.3,1,30.4%,66.8%,2.8%,331801,71.2%,Asia,,,12/1/2000
2.8%,,1977,Cambodia,,,3412,"$3,654,031,716",6.3%,$19,,8.2%,0.0,,65,59,0.0,1,40.8%,55.4%,3.8%,12222871,18.6%,Asia,"$345,000,000","$52,000,000",12/1/2000
1.4%,,3405180,China,,,1161353,"$1,198,474,937,925",4.6%,$43,,3.0%,0.0,5.9%,74,71,0.1,1,25.6%,67.5%,6.9%,1262645000,35.9%,Asia,"$17,318,000,000","$14,169,000,000",12/1/2000
1.2%,,4536,Georgia,,,2869,"$3,057,453,461",6.9%,$45,,3.1%,0.0,24.7%,75,68,0.0,1,21.9%,65.6%,12.5%,4418300,52.6%,Asia,"$107,000,000","$129,000,000",12/1/2000
0.8%,,40465,"Hong Kong SAR, China",,,13392,"$171,668,164,083",,,,,0.3,9.5%,84,78,0.8,1,17.3%,71.7%,11.0%,6665000,100.0%,Asia,"$8,198,000,000","$12,502,000,000",12/1/2000
2.6%,,1186663,India,,,457198,"$476,609,148,166",4.3%,$20,,6.7%,0.0,12.3%,63,61,0.0,1,34.2%,61.4%,4.4%,1042261758,27.7%,Asia,"$3,598,000,000","$3,686,000,000",12/1/2000
2.2%,,263419,Indonesia,,,154768,"$165,021,012,262",2.0%,$15,,4.1%,0.0,18.5%,69,65,0.0,1,30.7%,64.7%,4.7%,208938698,42.0%,Asia,"$4,975,000,000","$3,197,000,000",12/1/2000
0.9%,,1219589,Japan,,,518964,"$4,731,198,760,271",7.6%,"$2,834",,0.3%,0.3,2.1%,85,78,0.5,1,14.6%,68.2%,17.2%,126870000,78.6%,Asia,"$5,970,000,000","$42,643,000,000",12/1/2000
1.5%,,127769,Kazakhstan,,,35679,"$18,291,990,619",4.2%,$52,,3.8%,0.0,,71,60,0.0,1,27.7%,65.5%,6.8%,14883626,55.7%,Asia,"$403,000,000","$483,000,000",12/1/2000
1.8%,,76699,"Korea, Dem. Rep.",,,19717,,,,,4.5%,,,69,61,,1,26.0%,68.1%,5.9%,22840225,59.4%,Asia,,,12/1/2000
1.3%,,447561,"Korea, Rep.",,,188161,"$561,633,037,420",4.3%,$491,,0.5%,0.4,8.5%,80,72,0.6,1,21.0%,71.7%,7.3%,47008111,79.6%,Asia,"$8,527,000,000","$7,945,000,000",12/1/2000
2.0%,,4529,Kyrgyz Republic,,,2317,"$1,369,691,955",4.7%,$13,,4.2%,0.0,51.9%,72,65,0.0,1,35.0%,59.6%,5.5%,4898400,35.3%,Asia,"$20,000,000","$28,000,000",12/1/2000
3.1%,,972,Lao PDR,,,,"$1,731,198,022",3.3%,$11,,8.3%,0.0,32.0%,63,60,0.0,1,43.5%,52.9%,3.6%,5388281,22.0%,Asia,"$114,000,000","$8,000,000",12/1/2000
0.9%,,1635,"Macao SAR, China",,,,"$6,101,794,939",,,,,0.1,9.9%,80,75,0.3,1,22.8%,69.8%,7.4%,431907,100.0%,Asia,"$3,205,000,000",,12/1/2000
2.3%,,126603,Malaysia,,,47110,"$93,789,473,684",3.0%,$120,,0.9%,0.2,7.7%,75,71,0.2,1,33.3%,62.8%,3.8%,23420751,62.0%,Asia,"$5,873,000,000","$2,543,000,000",12/1/2000
2.5%,,499,Maldives,,,,"$624,337,144",7.1%,$162,,3.5%,0.0,13.0%,70,69,0.0,1,41.3%,54.9%,3.8%,272745,27.7%,Asia,"$321,000,000","$60,000,000",12/1/2000
1.9%,,7506,Mongolia,,,2397,"$1,136,896,162",4.7%,$22,,4.9%,0.0,37.0%,66,60,0.1,1,34.8%,61.5%,3.7%,2397473,57.1%,Asia,"$43,000,000","$54,000,000",12/1/2000
2.1%,,10088,Myanmar,,,12841,,2.1%,$3,,5.9%,,15.3%,64,60,0.0,1,30.7%,64.5%,4.7%,48453000,27.0%,Asia,"$195,000,000","$30,000,000",12/1/2000
3.3%,,3234,Nepal,,,8108,"$5,494,252,208",5.0%,$12,,6.0%,0.0,9.5%,63,61,0.0,1,40.4%,55.8%,3.8%,23184177,13.4%,Asia,"$219,000,000","$109,000,000",12/1/2000
3.1%,,106449,Pakistan,,,64067,"$73,952,374,970",3.0%,$15,,8.8%,,,65,63,0.0,1,41.5%,54.6%,3.9%,143832014,33.2%,Asia,"$551,000,000","$574,000,000",12/1/2000
3.0%,,73307,Philippines,,,39872,"$81,026,294,681",3.2%,$33,,3.0%,0.0,10.9%,70,64,0.1,1,38.5%,58.3%,3.2%,77651848,48.0%,Asia,"$2,334,000,000","$1,841,000,000",12/1/2000
1.2%,,49006,Singapore,,,18692,"$95,835,970,989",2.7%,$662,,0.3%,0.4,5.8%,80,76,0.7,1,21.5%,71.2%,7.3%,4027900,100.0%,Asia,"$5,142,000,000","$4,535,000,000",12/1/2000
1.8%,,10161,Sri Lanka,,,8327,"$16,330,810,304",3.7%,$32,,1.4%,0.0,16.2%,75,68,0.0,1,26.9%,66.9%,6.3%,19102000,18.4%,Asia,"$388,000,000","$383,000,000",12/1/2000
3.0%,,2237,Tajikistan,,,2149,"$860,550,294",4.6%,$6,,7.5%,0.0,25.6%,68,60,0.0,1,42.9%,53.6%,3.5%,6186152,26.5%,Asia,,,12/1/2000
1.5%,,188355,Thailand,,,72284,"$122,725,247,706",3.4%,$67,,1.9%,0.0,7.8%,75,67,0.0,1,24.2%,69.3%,6.6%,62343379,31.4%,Asia,"$9,935,000,000","$3,218,000,000",12/1/2000
4.3%,,,Timor-Leste,,,,"$350,100,000",5.1%,$19,,8.4%,,,61,58,,1,49.8%,47.9%,2.4%,853585,24.3%,Asia,,,12/1/2000
2.4%,,35365,Turkmenistan,,,14871,"$2,904,662,605",3.9%,$44,,6.6%,0.0,,68,60,0.0,1,36.3%,59.4%,4.3%,4501419,45.9%,Asia,,,12/1/2000
2.1%,,119951,Uzbekistan,,,50757,"$13,760,374,488",5.3%,$29,,5.3%,0.0,,70,64,0.0,1,37.3%,58.4%,4.3%,24650400,37.4%,Asia,"$63,000,000",,12/1/2000
1.7%,,53645,Vietnam,,,28736,"$33,640,085,728",5.3%,$20,,2.7%,0.0,10.6%,78,69,0.0,1,31.6%,62.0%,6.4%,77630900,24.4%,Asia,,,12/1/2000
1.9%,,3022,Albania,,,1763,"$3,686,649,387",6.4%,$70,,2.3%,0.0,22.1%,77,71,0.0,1,30.3%,62.8%,6.8%,3089027,41.7%,Europe,"$398,000,000","$290,000,000",12/1/2000
1.1%,,524,Andorra,,,,"$1,133,644,295",6.2%,"$1,330",,0.4%,0.1,,,,0.4,1,,,,65399,92.4%,Europe,,,12/1/2000
1.0%,,63696,Austria,,,28558,"$192,070,749,954",10.0%,"$2,403",,0.5%,0.3,,81,75,0.8,1,17.0%,67.5%,15.5%,8011566,65.8%,Europe,"$11,382,000,000","$7,001,000,000",12/1/2000
0.9%,,53469,Belarus,,,24695,"$12,736,856,485",6.1%,$64,,1.1%,0.0,67.7%,75,63,0.0,1,18.6%,67.9%,13.4%,10005000,70.0%,Europe,"$188,000,000","$247,000,000",12/1/2000
1.1%,,115709,Belgium,,,58508,"$232,672,747,374",8.1%,"$1,845",,0.5%,0.3,8.0%,81,75,0.5,1,17.6%,65.5%,16.9%,10251250,97.1%,Europe,"$6,592,000,000","$9,429,000,000",12/1/2000
1.0%,,23223,Bosnia and Herzegovina,,,4346,"$5,505,984,456",7.1%,$103,,0.8%,0.0,30.5%,77,72,0.0,1,20.2%,69.1%,10.7%,3834364,39.3%,Europe,"$246,000,000","$92,000,000",12/1/2000
0.9%,,43531,Bulgaria,,,18688,"$12,903,546,765",6.2%,$98,,1.8%,0.1,11.3%,75,68,0.1,1,15.7%,67.7%,16.6%,8170172,68.9%,Europe,"$1,364,000,000","$764,000,000",12/1/2000
1.0%,,19644,Croatia,,,7790,"$21,517,784,659",7.8%,$377,,0.7%,0.1,12.1%,77,69,0.2,1,17.2%,67.3%,15.6%,4426000,55.6%,Europe,"$2,871,000,000","$634,000,000",12/1/2000
1.3%,,6850,Cyprus,,,2137,"$9,314,937,556",5.8%,$744,,0.6%,0.2,8.0%,80,76,0.2,1,22.4%,67.4%,10.2%,943287,68.6%,Europe,"$2,137,000,000","$543,000,000",12/1/2000
0.9%,,124649,Czech Republic,,,40993,"$58,807,244,368",6.3%,$361,,0.6%,0.1,7.2%,78,72,0.4,1,16.5%,69.7%,13.8%,10255063,74.0%,Europe,"$2,973,000,000","$1,276,000,000",12/1/2000
1.3%,,47260,Denmark,,,18634,"$160,082,517,846",8.7%,"$2,613",,0.5%,0.4,8.1%,79,74,0.6,1,18.5%,66.7%,14.9%,5339616,85.1%,Europe,"$3,671,000,000","$4,669,000,000",12/1/2000
1.0%,,15181,Estonia,,,4715,"$5,675,697,575",5.3%,$213,,0.9%,0.3,7.4%,76,65,0.4,1,18.0%,66.9%,15.2%,1396985,69.4%,Europe,"$657,000,000","$253,000,000",12/1/2000
,,711,Faeroe Islands,,,,"$1,062,339,944",,,,,0.3,,82,76,0.4,1,,,,46491,36.3%,Europe,,,12/1/2000
1.1%,,52141,Finland,,,32233,"$121,793,808,734",7.2%,"$1,700",,0.4%,0.4,5.6%,81,74,0.7,1,18.2%,66.9%,14.9%,5176209,82.2%,Europe,"$2,035,000,000","$2,293,000,000",12/1/2000
1.3%,,365560,France,,,251981,"$1,326,334,438,917",10.1%,"$2,209",,0.4%,0.1,6.7%,83,75,0.5,1,18.9%,65.0%,16.0%,60911057,75.9%,Europe,"$38,534,000,000","$26,703,000,000",12/1/2000
0.9%,,829978,Germany,,,336584,"$1,886,401,326,700",10.4%,"$2,387",,0.4%,0.3,9.6%,81,75,0.6,1,15.6%,68.1%,16.3%,82211508,73.1%,Europe,"$24,943,000,000","$57,601,000,000",12/1/2000
1.0%,,91616,Greece,,,27086,"$124,418,163,928",7.9%,$918,,0.7%,0.1,12.3%,81,75,0.5,1,15.2%,68.0%,16.8%,10917482,72.7%,Europe,"$9,262,000,000","$4,564,000,000",12/1/2000
1.0%,,57238,Hungary,,,24999,"$46,385,589,534",7.2%,$326,,1.0%,0.1,12.6%,76,67,0.3,1,16.8%,68.0%,15.1%,10210971,64.6%,Europe,"$3,809,000,000","$1,722,000,000",12/1/2000
1.4%,,2164,Iceland,,,3100,"$8,697,298,234",9.5%,"$2,961",,0.3%,0.4,16.8%,82,78,0.8,1,23.3%,65.1%,11.6%,281205,92.4%,Europe,"$386,000,000","$471,000,000",12/1/2000
1.4%,,41345,Ireland,,,13574,"$97,331,522,066",6.1%,"$1,572",,0.6%,0.2,4.8%,79,74,0.6,1,21.8%,67.0%,11.2%,3805174,59.1%,Europe,"$3,517,000,000","$2,626,000,000",12/1/2000
,,,Isle of Man,,,,"$1,563,667,800",,,,,,,,,,1,,,,76806,51.8%,Europe,,,12/1/2000
1.0%,,451441,Italy,,,171522,"$1,104,009,462,562",7.9%,"$1,527",,0.5%,0.2,7.0%,83,77,0.7,1,14.3%,67.4%,18.3%,56942108,67.2%,Europe,"$28,706,000,000","$18,169,000,000",12/1/2000
2.3%,,,Kosovo,,,1545,"$1,849,196,082",,,,,,,70,66,,1,,,,1700000,,Europe,,,12/1/2000
0.9%,,6241,Latvia,,,3832,"$7,833,068,425",6.0%,$197,,1.5%,0.1,11.9%,76,65,0.2,1,17.9%,67.1%,15.0%,2367550,68.1%,Europe,"$172,000,000","$281,000,000",12/1/2000
1.3%,,,Liechtenstein,,,,"$2,483,890,594",,,,,0.4,,80,74,0.3,1,,,,33093,15.1%,Europe,,,12/1/2000
1.0%,,12200,Lithuania,,,7131,"$11,434,200,000",6.5%,$212,,1.0%,0.1,12.1%,78,67,0.2,1,19.9%,66.2%,13.9%,3499536,67.0%,Europe,"$430,000,000","$261,000,000",12/1/2000
1.3%,,8240,Luxembourg,,,3335,"$20,267,551,133",7.5%,"$3,495",,0.4%,0.2,,81,75,0.7,1,18.9%,67.0%,14.1%,436300,84.2%,Europe,"$1,686,000,000","$1,309,000,000",12/1/2000
1.3%,,12064,"Macedonia, FYR",,,2668,"$3,586,883,989",8.7%,$153,,1.4%,0.0,18.9%,76,71,0.1,1,22.4%,67.6%,10.0%,2052129,58.5%,Europe,"$88,000,000","$58,000,000",12/1/2000
1.2%,,2065,Malta,,,676,"$3,957,418,083",6.6%,$643,,0.7%,0.1,7.3%,80,76,0.3,1,20.7%,68.6%,10.7%,381363,92.4%,Europe,"$731,000,000","$224,000,000",12/1/2000
1.2%,,3513,Moldova,,,2883,"$1,288,420,223",6.7%,$24,,2.5%,0.0,33.8%,71,63,0.0,1,23.7%,66.3%,10.0%,3639592,45.8%,Europe,"$57,000,000","$86,000,000",12/1/2000
,,,Monaco,,,,"$2,647,883,820",3.3%,"$2,685",,0.4%,0.4,,,,0.4,1,,,,32081,100.0%,Europe,,,12/1/2000
1.3%,,,Montenegro,,,,"$984,279,596",7.5%,$121,,1.3%,,,77,71,,1,21.3%,67.3%,11.3%,611196,58.5%,Europe,,,12/1/2000
1.3%,,165363,Netherlands,,,73223,"$385,074,626,866",8.0%,"$1,932",,0.5%,0.4,4.8%,81,76,0.7,1,18.6%,67.9%,13.6%,15925513,76.8%,Europe,"$11,285,000,000","$13,649,000,000",12/1/2000
1.3%,,38808,Norway,,,26092,"$168,288,531,891",9.1%,"$3,432",,0.4%,0.5,8.9%,81,76,0.7,1,20.0%,64.8%,15.2%,4490967,76.1%,Europe,"$2,521,000,000","$4,893,000,000",12/1/2000
1.0%,,301691,Poland,,,89116,"$171,276,118,424",5.5%,$247,,0.8%,0.1,20.0%,78,70,0.2,1,19.4%,68.4%,12.3%,38258629,61.7%,Europe,"$6,128,000,000","$3,417,000,000",12/1/2000
1.2%,,62966,Portugal,,,24673,"$117,299,520,914",9.3%,"$1,070",,0.6%,0.2,,80,73,0.6,1,16.2%,67.6%,16.2%,10289898,54.4%,Europe,"$6,027,000,000","$2,754,000,000",12/1/2000
1.0%,,89985,Romania,,,36228,"$37,305,099,928",4.3%,$72,,2.3%,0.0,53.9%,75,68,0.1,1,18.6%,68.0%,13.4%,22442971,53.0%,Europe,"$394,000,000","$447,000,000",12/1/2000
0.9%,,1558112,Russian Federation,,,619265,"$259,708,496,267",5.4%,$96,,2.0%,0.0,24.4%,72,59,0.0,1,18.2%,69.4%,12.4%,146596870,73.4%,Europe,"$3,429,000,000","$8,848,000,000",12/1/2000
,,,San Marino,,,,"$773,907,642",5.3%,"$2,161",,0.5%,0.5,9.2%,84,77,0.5,1,,,,26969,93.4%,Europe,,,12/1/2000
